Database Name	CLS ODA
Database Location	http://operetta-cls.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	8d7e79c9-eb4a-4cf4-a8bf-b2ad302dd2ee
Plate Name	P105274
Measurement	Measurement 3
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	number of cells	spot area per cell	Number of Spots per Area of Cell - Mean per Well	sum spot intensity per cell	Spots - Intensity Spot CellMask Green Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
7	7	1	1	114	497,00877193	0,00837308793888	35673,6861371	4066800,21963	4	0	0					
8	7	1	1	638	12,802507837	0,000374838300302	1054,21421994	672588,672324	4	0	0					
9	7	1	1	806	16,9838709677	0,000271607921704	948,104459115	764172,194047	4	0	0					
10	7	1	1	800	12,34875	0,00027844703025	873,156570673	698525,256539	4	0	0					
11	7	1	1	732	17,1010928962	0,000191728818213	720,161903426	527158,513308	4	0	0					
12	7	1	1	862	6,11252900232	0,000106000297726	363,180727644	313061,787229	4	0	0					
13	7	1	1	813	106,93603936	0,00308583601383	9241,06811388	7512988,37659	4	0	0					
14	7	1	1	814	10,9963144963	0,000276507093747	756,579732457	615855,90222	4	0	0					
15	7	1	1	711	18,7749648383	0,000264589413716	810,345031576	576155,317451	4	0	0					
16	7	1	1	819	5,29426129426	0,000134811929194	351,147733237	287589,993521	4	0	0					
16	8	1	1	112	40,7857142857	0,000509929653163	2070,62995685	231910,555167	4	0	0					
15	8	1	1	63	104,619047619	0,00133732757217	5428,31294299	341983,715408	4	0	0					
14	8	1	1	959	7,91866527633	0,000141682273954	538,907288419	516812,089594	4	0	0					
13	8	1	1	587	19,8347529813	0,000376452924535	1090,26136816	639983,423111	4	0	0					
12	8	1	1	113	50,7787610619	0,000752224759016	2369,24415841	267724,5899	4	0	0					
11	8	1	1	96	91,5	0,000868370734376	3526,00337197	338496,323709	4	0	0					
10	8	1	1	93	48,376344086	0,000485682774114	1640,26639525	152544,774758	4	0	0					
9	8	1	1	49	182,571428571	0,00331738816244	9691,68261113	474892,447945	4	0	0					
8	8	1	1	757	7,3857331572	0,000120439678474	438,422981875	331886,197279	4	0	0					
7	8	1	1	876	14,6552511416	0,00019336394935	551,993006472	483545,87367	4	0	0					
6	8	1	1	650	6,73846153846	0,000123180488769	424,594681511	275986,542982	4	0	0					
5	8	1	1	818	13,4095354523	0,000238824519	715,487998176	585269,182508	4	0	0					
4	8	1	1	806	11,8436724566	0,000251334872707	784,422624119	632244,63504	4	0	0					
3	8	1	1	753	92,0863213811	0,00289867895742	7791,76368643	5867198,05588	4	0	0					
2	8	1	1	924	6,88095238095	0,000140737608258	447,688047478	413663,75587	4	0	0					
1	8	1	1	943	14,6914103924	0,000227990419683	625,3656189	589719,778622	4	0	0					
1	9	1	1	132	100,477272727	0,000848366431841	4431,04363168	584897,759382	4	0	0					
2	9	1	1	162	30,0185185185	0,000389853710209	1498,30563499	242725,512869	4	0	0					
3	9	1	1	936	20,0106837607	0,000406104014054	1163,37172049	1088915,93038	4	0	0					
4	9	1	1	1066	8,0487804878	0,000156102488138	495,576712283	528284,775293	4	0	0					
5	9	1	1	14	158,214285714	0,00260525414238	3277,1811584	45880,5362176	4	0	0					
6	9	1	1	59	129,796610169	0,00168590047703	2829,6271187	166948,000003	4	0	0					
7	9	1	1	280	407,596428571	0,00806691779154	31982,146368	8955000,98305	4	0	0					
8	9	1	1	446	55,7376681614	0,00135379876893	3931,07835747	1753260,94743	4	0	0					
9	9	1	1	821	13,28136419	0,000164423617726	539,76494198	443147,017365	4	0	0					
10	9	1	1	882	6,53968253968	0,000105972231737	309,302919183	272805,17472	4	0	0					
11	9	1	1	6	263,833333333	0,00453523220494	9417,15164432	56502,9098659	4	0	0					
12	9	1	1	176	460,948863636	0,00918386258375	43986,6826062	7741656,13869	4	0	0					
13	9	1	1	288	351,826388889	0,00617105954916	25775,4599997	7423332,47991	4	0	0					
14	9	1	1	464	48,0538793103	0,00103473314294	3333,08035947	1546549,2868	4	0	0					
15	9	1	1	1038	10,5	0,000141678076055	401,857270663	417127,846948	4	0	0					
16	9	1	1	800	7,955	9,2189767629E-05	344,475695599	275580,556479	4	0	0					
16	10	1	1	11	273,181818182	0,00401507481001	6021,26706439	66233,9377083	4	0	0					
15	10	1	1	12	264,25	0,00405139018161	5355,58267689	64266,9921227	4	0	0					
14	10	1	1	17	283,117647059	0,00355801147517	5563,65550343	94582,1435584	4	0	0					
13	10	1	1	14	215,571428571	0,00244085857828	3165,79536077	44321,1350507	4	0	0					
12	10	1	1	570	10,2807017544	0,00013745816726	520,808893567	296861,069333	4	0	0					
11	10	1	1	55	41,6181818182	0,000685936556229	1814,87954437	99818,3749405	4	0	0					
10	10	1	1	16	176,375	0,00265197876797	3502,12181211	56033,9489938	4	0	0					
9	10	1	1	8	222,25	0,00310699624242	3714,96526421	29719,7221137	4	0	0					
8	10	1	1	17	163,235294118	0,00154041214709	2339,97956007	39779,6525212	4	0	0					
7	10	1	1	20	394,35	0,00303133376001	6166,73418929	123334,683786	4	0	0					
6	10	1	1	621	10,3784219002	0,000134519257254	485,713634643	301628,167113	4	0	0					
5	10	1	1	66	36,9393939394	0,000313904705487	1073,3799063	70843,073816	4	0	0					
4	10	1	1	13	309,846153846	0,0039497138395	5695,33516368	74039,3571278	4	0	0					
3	10	1	1	16	222,0625	0,00203206323204	3681,10959214	58897,7534742	4	0	0					
2	10	1	1	20	295,45	0,00244189223158	4063,42298688	81268,4597377	4	0	0					
1	10	1	1	28	297,821428571	0,00223738856896	4270,33163826	119569,285871	4	0	0					
1	11	1	1	21	93,5714285714	0,00102843789916	2260,5604118	47471,7686478	4	0	0					
2	11	1	1	47	108,234042553	0,000775558236204	2833,77346801	133187,352997	4	0	0					
3	11	1	1	35	293,714285714	0,0035494018687	5626,64439089	196932,553681	4	0	0					
4	11	1	1	10	179,8	0,0020035841153	2651,70854337	26517,0854337	4	0	0					
5	11	1	1	10	198,1	0,00311611283105	4009,53996037	40095,3996037	4	0	0					
6	11	1	1	24	183,666666667	0,00233954776559	3139,91840275	75358,0416659	4	0	0					
7	11	1	1	6	221,5	0,0028751725816	4046,38772177	24278,3263306	4	0	0					
8	11	1	1	26	60,1538461538	0,000534842002358	1503,22210452	39083,7747175	4	0	0					
9	11	1	1	39	314,41025641	0,00418705988723	5957,1087952	232327,243013	4	0	0					
10	11	1	1	16	265	0,00407360434474	5124,13945616	81986,2312986	4	0	0					
11	11	1	1	15	253,066666667	0,00316086173213	4874,19378638	73112,9067957	4	0	0					
12	11	1	1	12	307,5	0,00362121711563	5471,99657157	65663,9588589	4	0	0					
13	11	1	1	25	253,88	0,00411247819196	4953,14921778	123828,730445	4	0	0					
14	11	1	1	15	289,533333333	0,00376088774453	4679,07440597	70186,1160896	4	0	0					
15	11	1	1	25	279,4	0,00371253330028	5574,41183444	139360,295861	4	0	0					
16	11	1	1	26	278,807692308	0,00451752003909	6274,72554291	163142,864116	4	0	0					
16	12	1	1	915	6,46010928962	0,000101941908615	393,158356178	359739,895903	4	0	0					
