Well	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
D03	1	0	2349	9.73776074926	0.242230736484	0.00321496935285	0.000323699931663	969.659237492	607	0.123325330309	293.686418007	40.4019769357	1979.29996711	4	0	0					
D04	1	0	1375	49.4276363636	1.01018181818	0.0156837461584	0.00141459108097	1070.61797746	1523	0.130852888851	307.655069803	49.891661195	2008.35920294	4	0	0					
D05	1	0	2319	15.3488572661	0.435101336783	0.00417492900052	0.000551524487374	1058.54253666	1099	0.116352471987	254.138882633	35.7743403094	1928.26487648	4	0	0					
D06	1	0	2290	9.62008733624	0.280786026201	0.00413765190561	0.000341814282967	1098.80379581	676	0.132911602003	572.769262899	33.9482248521	3175.06525345	4	0	0					
D07	1	0	2359	13.9618482408	0.470114455278	0.00388365968906	0.000602231574273	1053.16684076	1223	0.118974497471	255.162789002	29.9174161897	1942.87463061	4	0	0					
D08	1	0	2366	8.04902789518	0.215131022823	0.0032121555206	0.000283871383027	1073.40172154	546	0.127864636152	407.34132789	37.9633699634	2582.04933222	4	0	0					
D09	1	0	2317	8.68839015969	0.259387138541	0.00330416840215	0.000309242421659	1048.45494592	649	0.13287827107	356.375900935	33.3929121726	2220.50968782	4	0	0					
D10	1	0	2318	7.07894736842	0.207075064711	0.00216621553683	0.000262776864457	1012.84967421	529	0.12108687258	290.12033077	34.5293005671	2061.41043091	4	0	0					
D11	1	0	2313	8.62213575443	0.257241677475	0.0027881881216	0.000324223352372	1078.22962965	659	0.123403433567	359.339484509	33.468892261	2445.9504201	4	0	0					
D12	1	0	2437	6.2347148133	0.189167008617	0.00197450203705	0.000247903022455	1058.47832265	516	0.123394765102	315.462339136	32.742248062	2214.96884195	4	0	0					
D13	1	0	2282	8.6069237511	0.25898334794	0.00313969038693	0.000331927563393	1075.11816477	624	0.129721945997	344.334641497	33.3733974359	2208.70551344	4	0	0					
D14	1	0	2257	8.23172352681	0.230394328755	0.00262146935148	0.00029120548459	1048.38217885	563	0.121084711357	308.597180126	35.8436944938	2025.93042927	4	0	0					
D15	1	0	2206	6.93109700816	0.190843155032	0.0022252283819	0.000246333468621	1051.97850848	463	0.122786394025	298.686989328	36.555075594	2090.72638185	4	0	0					
