Database Name	Phenix ODA 2																				
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx																				
Evaluation Signature	d1f3a05a-6c3e-4ca7-ae38-6be44eaee441																				
Plate Name	P102902																				
Measurement	Measurement 1																				
Evaluation	Evaluation1																				
																					
[Data]																					
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count
2	8	1	0	2134	8.921274602	0.273195876	0.003368008	0.000340092	1058.22005	626	0.124381624	346.6938745	32.50958466	2355.882875	4	0	0				
2	9	1	0	2233	8.674429019	0.288401254	0.003438492	0.000368181	1030.286336	706	0.125883396	318.7204368	30.45750708	2104.130864	4	0	0				
2	10	1	0	1441	9.614156836	0.303261624	0.002810535	0.000248365	1020.167641	494	0.130447765	518.8502794	32.08906883	3238.021822	4	0	0				
2	11	1	0	2231	10.33706858	0.312864186	0.00372121	0.000414071	1100.395995	763	0.124120351	346.9136124	33.42201835	2319.426588	4	0	0				
2	12	1	0	2195	9.182232346	0.30523918	0.00324681	0.000366341	1032.885932	732	0.126827336	328.3295251	30.39344262	2097.843385	4	0	0				
2	13	1	0	1479	9.273157539	0.292765382	0.003639195	0.000242117	1048.056312	484	0.139429011	530.0897174	32.8677686	2976.601821	4	0	0				
2	14	1	0	2210	8.56199095	0.27918552	0.002976151	0.000342658	1009.242205	649	0.125279787	331.8321367	31.10169492	2118.962333	4	0	0				
2	15	1	0	2066	8.291384318	0.281219748	0.003199486	0.000356626	1011.423631	631	0.125300783	324.4231595	29.52773376	2103.051225	4	0	0				
2	16	1	0	2245	27.05523385	1.000445434	0.008515969	0.001314433	1051.127461	2433	0.122461049	260.9862338	27.40156186	1931.312822	4	0	0				
2	17	1	0	2214	7.891598916	0.262872629	0.002728098	0.000331934	1053.563935	630	0.124255881	319.6157885	30.59206349	2156.433191	4	0	0				
