Well	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
D22	1	0	1942	10.1261585994	0.327497425335	0.00284905526768	0.000353127322927	980.011001292	699	0.122667314437	278.276355259	31.1287553648	1951.81393444	4	0	0					
D23	1	0	2266	103.000441306	3.84421888791	0.0423687731251	0.00533225221821	1665.46862039	9415	0.143052949601	482.923051005	27.1146043548	3072.28532165	4	0	0					
D24	1	0	2073	107.656054028	4.99228171732	0.046167913195	0.00711621686043	1524.66708308	11343	0.148652634075	439.931386097	21.7737811866	2751.15123438	4	0	0					
E01	1	0	2148	60.7960893855	1.94506517691	0.0198828315971	0.0025582749476	1281.85947579	4489	0.124636693193	312.105084502	31.6480285141	2352.710309	4	0	0					
E02	1	0	1949	90.4145715752	3.39610056439	0.0315340687105	0.00453033887333	1360.8642716	7177	0.139182481643	350.423705518	26.8771074265	2347.7833156	4	0	0					
E03	1	0	1999	10.8674337169	0.32116058029	0.00412092860059	0.000394147129209	980.965600676	700	0.130556103319	348.484348996	34.0242857143	2255.89236223	4	0	0					
E04	1	0	2202	9.79972752044	0.276566757493	0.00327413639512	0.000337980303671	990.610025522	663	0.12517180674	293.511888123	35.4841628959	1999.00746379	4	0	0					
E05	1	0	1123	18.7631344613	0.538735529831	0.00541141711296	0.000526364671514	1009.608884	641	0.125386702435	274.063081405	34.6365054602	1821.26645702	4	0	0					
E06	1	0	2338	7.9880239521	0.230966638152	0.00256398852289	0.000290043916178	994.720845554	582	0.123173564233	276.217368931	34.8333333333	1867.63602419	4	0	0					
E07	1	0	2316	9.33074265976	0.280656303972	0.00268277461787	0.000339120268554	1026.62158358	698	0.121283252717	279.805249767	33.38252149	1970.04937235	4	0	0					
E08	1	0	2243	9.67320552831	0.293802942488	0.00341927612437	0.00036284298568	1014.67048761	714	0.126088683232	313.019710367	33.0966386555	2096.17642728	4	0	0					
E09	1	0	2255	7.27095343681	0.184478935698	0.00316412267317	0.000273623807599	995.886489742	448	0.132662545794	368.771979159	39.8080357143	2291.9732139	4	0	0					
E10	1	0	2180	9.91788990826	0.273853211009	0.0031263005963	0.00033985075365299997	1067.97202611	634	0.121012667601	315.493500765	36.3548895899	2226.56360345	4	0	0					
E11	1	0	2295	10.6897603486	0.292810457516	0.00328568736555	0.000360596554647	1051.01696231	735	0.124268279711	335.860864149	37.0204081633	2304.44220539	4	0	0					
