Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
P09,1,0,2032,9.81003937008,0.24311023622,0.00318560610226,0.000305161307232,1076.65301324,524,0.124255872033,332.756331624,41.0400763359,2208.09432715,4,0,0,,,,,
P10,1,0,2072,7.81805019305,0.223455598456,0.00320203864216,0.000281008972721,1001.96499731,509,0.12904308926,348.623717637,35.0903732809,2183.7890571,4,0,0,,,,,
P11,1,0,2017,8.6812097174,0.225582548339,0.00313549398448,0.000315735324558,980.507331651,512,0.12174218815,285.929145076,39.638671875,1975.63543936,4,0,0,,,,,
P12,1,0,2136,8.94101123596,0.227996254682,0.00281734840207,0.000285788227966,1042.61394107,530,0.124964524617,304.258731781,39.7566037736,2015.31169124,4,0,0,,,,,
P13,1,0,2209,28.6432775011,1.03485740154,0.00784345530974,0.00136222717334,1116.40422379,2461,0.121353942933,246.62342074,27.8801300284,1899.94148579,4,0,0,,,,,
P14,1,0,2165,7.01570438799,0.194919168591,0.00213579278453,0.000252377471535,1016.81977159,476,0.121440904931,263.825597949,36.743697479,1895.292275,4,0,0,,,,,
P15,1,0,2093,9.54180602007,0.278069756331,0.00290217287136,0.000349152657098,1020.45672079,653,0.123765308999,295.224483567,34.4517611026,2096.89338733,4,0,0,,,,,
P16,1,0,2127,10.660554772,0.300893276916,0.00336783402987,0.00038766651361,1001.41965264,685,0.120218564416,271.348221813,35.9868613139,1947.07641604,4,0,0,,,,,
P17,1,0,1996,13.1728456914,0.447895791583,0.00458737867758,0.000604599735757,1013.83320514,937,0.121545855674,266.922040845,29.62113127,1876.52514676,4,0,0,,,,,
P18,1,0,2142,13.3193277311,0.428104575163,0.00365522790912,0.000532462642421,1008.93181456,1001,0.120422820737,247.484431062,31.6883116883,1862.81894876,4,0,0,,,,,
P19,1,0,1957,8.79560551865,0.222278998467,0.00273959994899,0.000281949897836,951.775778633,480,0.12210914639,282.001049971,39.69375,1880.85524945,4,0,0,,,,,
P20,1,0,2149,8.32712889716,0.249883666822,0.00239304857382,0.000310316172145,978.10382225,587,0.122805842293,282.300664715,33.2112436116,2048.12349128,4,0,0,,,,,
P21,1,0,2223,7.37246963563,0.219973009447,0.00257163743426,0.000314408729965,970.06278716,539,0.11976688781,272.024537238,33.6456400742,1905.63552099,4,0,0,,,,,
P22,1,0,1934,8.93691830403,0.242502585315,0.0029360226825,0.000314814497946,940.139931047,508,0.119678851872,269.539497772,37.6850393701,1834.40831763,4,0,0,,,,,
P23,1,0,2189,9.17359524897,0.258565555048,0.0025534376398,0.0003269617962,931.729484188,615,0.122427484841,239.835720574,35.8520325203,1715.74255748,4,0,0,,,,,
P24,1,0,1969,37.6079228035,1.32402234637,0.010128788508,0.00162483773327,1322.72195697,2815,0.118587044551,290.920287398,28.7207815275,2278.17447951,4,0,0,,,,,
