plate	well	raw_data	type
P102534	P10	6645	Data
P102534	P11	9408	Data
P102534	P12	6725	Data
P102534	P13	7271	Neg
P102534	P14	6965	Data
P102534	P15	8004	Data
P102534	P16	7500	Data
P102534	P17	5699	Data
P102534	P19	7104	Data
P102534	P20	9798	Data
P102534	P22	7840	Data
P102534	P23	7703	Data
P102534	P24	6622	Neg
P102535	A01	1075	Pos
P102535	A02	15541	Data
P102535	A03	9905	Data
P102535	A04	8468	Data
P102535	A05	11181	Data
P102535	A06	11746	Data
P102535	A07	12332	Data
P102535	A08	12145	Data
P102535	A09	11231	Data
P102535	A10	8650	Data
P102535	A11	17302	Data
P102535	A12	15990	Data
P102535	A13	1018	Pos
P102535	A14	12301	Data
P102535	A16	9921	Data
P102535	A17	11367	Data
P102535	A18	11954	Data
P102535	A19	10441	Data
P102535	A20	9450	Data
P102535	A21	10788	Data
P102535	A22	11999	Data
P102535	A23	12539	Data
P102535	A24	768	Pos
P102535	B01	5654	Neg
P102535	B02	9323	Data
P102535	B03	8921	Data
P102535	B04	11711	Data
P102535	B05	9225	Data
P102535	B06	7718	Data
P102535	B07	8733	Data
P102535	B08	9261	Data
P102535	B09	10346	Data
P102535	B10	9740	Data
P102535	B11	17890	Data
P102535	B12	7808	Data
P102535	B13	8470	Neg
P102535	B14	9935	Data
P102535	B15	11334	Data
P102535	B16	11552	Data
P102535	B17	11572	Data
P102535	B18	10350	Data
P102535	B19	8934	Data
P102535	B20	10900	Data
P102535	B21	16291	Data
P102535	B22	10908	Data
P102535	B23	9264	Data
P102535	B24	9740	Neg
P102535	C02	8693	Data
P102535	C03	13650	Data
P102535	C04	13266	Data
P102535	C05	12140	Data
P102535	C06	11008	Data
P102535	C07	10817	Data
P102535	C08	9629	Data
P102535	C09	7866	Data
P102535	C10	6850	Data
P102535	C11	10255	Data
P102535	C12	11929	Data
P102535	C14	0	Data
P102535	C15	10845	Data
P102535	C16	11525	Data
P102535	C17	11606	Data
P102535	C18	11886	Data
P102535	C19	10111	Data
P102535	C20	10501	Data
P102535	C21	10373	Data
P102535	C22	10484	Data
P102535	C23	11348	Data
P102535	D01	5633	Neg
P102535	D02	6510	Data
P102535	D03	11245	Data
P102535	D04	10669	Data
P102535	D05	0	Data
P102535	D06	12732	Data
P102535	D07	11735	Data
P102535	D08	9661	Data
P102535	D09	8363	Data
P102535	D10	9121	Data
P102535	D11	11041	Data
P102535	D12	10460	Data
P102535	D13	9422	Neg
P102535	D14	9347	Data
P102535	D15	8400	Data
P102535	D16	10234	Data
P102535	D17	9591	Data
P102535	D18	10521	Data
P102535	D19	6195	Data
P102535	D20	10183	Data
P102535	D21	10738	Data
P102535	D22	10255	Data
P102535	D23	11135	Data
P102535	D24	10993	Neg
P102535	E01	643	Pos
P102535	E02	9463	Data
P102535	E03	8557	Data
P102535	E04	9769	Data
P102535	E05	9157	Data
P102535	E06	13028	Data
P102535	E07	10778	Data
P102535	E08	10252	Data
P102535	E09	9880	Data
P102535	E10	6778	Data
P102535	E11	10398	Data
P102535	E12	11721	Data
P102535	E13	639	Pos
P102535	E15	11860	Data
P102535	E16	8068	Data
P102535	E17	11724	Data
P102535	E18	10752	Data
P102535	E19	9675	Data
P102535	E20	10271	Data
P102535	E21	10924	Data
P102535	E22	12144	Data
P102535	E23	10124	Data
P102535	E24	916	Pos
P102535	F01	5808	Neg
P102535	F02	8599	Data
P102535	F03	7259	Data
P102535	F04	12239	Data
P102535	F05	8868	Data
P102535	F06	9927	Data
P102535	F07	9296	Data
P102535	F08	9645	Data
P102535	F09	8719	Data
P102535	F10	9233	Data
P102535	F11	9749	Data
P102535	F12	10108	Data
P102535	F13	8162	Neg
P102535	F14	12555	Data
P102535	F15	9646	Data
P102535	F16	9726	Data
P102535	F17	9465	Data
P102535	F18	9963	Data
P102535	F19	9887	Data
P102535	F20	10058	Data
P102535	F21	9085	Data
P102535	F22	10573	Data
P102535	F23	11437	Data
P102535	F24	7898	Neg
P102535	G02	10108	Data
P102535	G03	11167	Data
P102535	G04	8229	Data
P102535	G05	10446	Data
P102535	G06	10213	Data
P102535	G07	12402	Data
P102535	G08	7675	Data
P102535	G09	9521	Data
P102535	G10	8924	Data
P102535	G11	10311	Data
P102535	G12	10004	Data
P102535	G14	10625	Data
P102535	G15	8955	Data
P102535	G16	12478	Data
P102535	G17	14567	Data
P102535	G18	9413	Data
P102535	G19	12018	Data
P102535	G20	9698	Data
P102535	G21	11457	Data
P102535	G22	10040	Data
P102535	G23	10355	Data
P102535	H01	7165	Neg
P102535	H02	7992	Data
P102535	H03	6779	Data
P102535	H04	11295	Data
P102535	H05	8394	Data
P102535	H06	13383	Data
P102535	H07	9190	Data
P102535	H08	7688	Data
P102535	H09	12234	Data
P102535	H10	8866	Data
P102535	H11	10729	Data
P102535	H12	8671	Data
P102535	H13	8560	Neg
P102535	H14	10115	Data
P102535	H15	11974	Data
P102535	H17	8212	Data
P102535	H18	19922	Data
P102535	H19	9629	Data
P102535	H20	13426	Data
P102535	H21	11384	Data
P102535	H22	8601	Data
P102535	H24	8502	Neg
P102535	I01	896	Pos
P102535	I02	11435	Data
P102535	I03	11332	Data
P102535	I04	9738	Data
P102535	I05	10977	Data
P102535	I06	10808	Data
P102535	I07	10986	Data
P102535	I08	11665	Data
P102535	I09	9327	Data
P102535	I10	8646	Data
P102535	I11	14343	Data
P102535	I12	9329	Data
P102535	I13	719	Pos
P102535	I14	13260	Data
