Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
E18,1,0,2007,164.698056801,6.8355754858,0.062672690109,0.00830289218101,2282.58632065,15000,0.146654754715,639.73326925,24.3864666667,4096.35347492,4,0,0,,,,,
E19,1,0,2018,104.279980178,4.22745292369,0.0288557041635,0.00458634603419,1295.43429519,9380,0.132676173962,330.567843716,24.8481876333,2301.32282784,4,0,0,,,,,
E20,1,0,2237,11.5824765311,0.485918641037,0.0035933556361,0.000509065566153,911.435955178,1206,0.126852931952,267.020041439,24.1583747927,1754.21601203,4,0,0,,,,,
E21,1,0,2134,8.86223055295,0.280693533271,0.00295550655888,0.000273450866723,899.464130202,666,0.137581107254,322.044709995,32.1396396396,1910.26251058,4,0,0,,,,,
E22,1,0,2091,8.80535628886,0.326637972262,0.0029874958673,0.00032429549771,857.852458235,794,0.134076049724,297.858341339,27.2594458438,1839.94520036,4,0,0,,,,,
E23,1,0,2257,10.552503323,0.431103234382,0.00321660363162,0.000432514611548,856.969115918,1068,0.130672639654,270.756068686,24.8867041199,1693.77570224,4,0,0,,,,,
E24,1,0,2182,151.538038497,7.10907424381,0.0540982578594,0.00808310780976,1570.86674794,17136,0.149773072176,466.3924688,21.3928571429,2841.42610217,4,0,0,,,,,
F01,1,0,1614,176.055142503,6.47831474597,0.0763187720906,0.00805749296097,2673.36596857,11558,0.151281688659,808.579511454,27.3487627617,4985.24931065,4,0,0,,,,,
F02,1,0,2258,120.452170062,4.93666961913,0.0399286769671,0.00554683718649,1603.71153874,12192,0.147236782349,506.056041977,24.4351213911,3056.65930086,4,0,0,,,,,
F03,1,0,2266,103.967343336,4.15136804943,0.0291201703542,0.00459798931533,1324.86775098,10253,0.130750101828,337.307063597,25.1860918755,2389.03060553,4,0,0,,,,,
F04,1,0,2525,21.1164356436,0.799207920792,0.00589257490182,0.000914802517139,1084.50418793,2247,0.123053301159,259.955842051,26.3742768135,1853.22919951,4,0,0,,,,,
F05,1,0,2296,10.0474738676,0.342770034843,0.00346552934341,0.000356033696297,938.122563229,880,0.135553953627,341.402917224,29.1193181818,2108.59761574,4,0,0,,,,,
F06,1,0,2212,7.81871609403,0.255424954792,0.00245075315494,0.000263722973204,994.862750946,623,0.13605334279,314.189388454,30.6115569823,2043.10628008,4,0,0,,,,,
F07,1,0,2443,7.63037249284,0.257060990585,0.00326852139713,0.000271909294073,990.208030748,716,0.14474334305,410.875254423,29.8296089385,2346.92685977,4,0,0,,,,,
F08,1,0,2137,145.082826392,6.37763219467,0.0622278848473,0.0077490229396,2176.98365934,15043,0.151802986234,739.808279975,22.8743601675,4454.29060348,4,0,0,,,,,
F09,1,0,2243,47.0766830138,2.19794917521,0.014334146759,0.00248398708448,1226.57786655,5476,0.132868341109,360.180479633,21.6718407597,2399.07615723,4,0,0,,,,,
F10,1,0,2316,8.88471502591,0.38816925734,0.00312718099546,0.000421258873637,992.614012236,997,0.12957056475,307.553733746,23.037111334,1967.91258485,4,0,0,,,,,
F11,1,0,2210,10.0642533937,0.362895927602,0.00362213344742,0.000375981428447,1022.12293916,877,0.136708890242,374.80407612,27.6955530217,2252.58263591,4,0,0,,,,,
F12,1,0,2290,7.43580786026,0.300873362445,0.00262930681318,0.000321579110346,1025.22897689,756,0.137463368162,337.462885268,25.1097883598,2060.39118443,4,0,0,,,,,
F13,1,0,2274,7.30255057168,0.235708003518,0.00305994467563,0.000247199849565,1088.68395818,584,0.146984403955,436.327398191,31.0684931507,2482.56615985,4,0,0,,,,,
F14,1,0,1791,162.977666108,6.38023450586,0.0646347305912,0.00798310722754,2486.72347049,12518,0.144528348103,678.724072176,25.7368589232,4420.53141271,4,0,0,,,,,
F15,1,0,2307,53.0680537495,2.47160814911,0.0135893823939,0.002802599922,1179.55845373,6306,0.12282246205,271.32422555,21.6563590232,2019.40758097,4,0,0,,,,,
F16,1,0,2042,13.2546523017,0.465719882468,0.00408158892842,0.000487164028157,978.330420293,1049,0.12852305918,285.075794483,28.490943756,1893.61691781,4,0,0,,,,,
F17,1,0,2264,8.04814487633,0.269876325088,0.00317541057477,0.000286339218891,976.392163354,682,0.143909715429,384.260938434,29.9545454545,2266.99961656,4,0,0,,,,,
F18,1,0,2010,8.39502487562,0.239800995025,0.00320118148099,0.00023969848314,1037.83046242,526,0.150046885216,411.88092298,34.933460076,2293.26784328,4,0,0,,,,,
F19,1,0,2253,7.66977363515,0.258322237017,0.00241696955851,0.000256813667385,931.372640151,642,0.137571161857,284.662279315,29.5996884735,1766.6079171,4,0,0,,,,,
F20,1,0,1871,180.437199359,5.27685729556,0.0608005815043,0.00654983524098,2295.17813395,10773,0.135895964884,554.869280037,34.4137194839,3937.62915976,4,0,0,,,,,
F21,1,0,2091,100.098039216,3.86370157819,0.0264435650286,0.00417529897931,1323.25641268,8942,0.126372478161,305.758370762,26.1514202639,2255.26321443,4,0,0,,,,,
F22,1,0,2248,16.0191281139,0.620996441281,0.00419483730775,0.000652692632726,864.881942569,1523,0.120136337211,206.089045359,25.8923177938,1494.74816568,4,0,0,,,,,
F23,1,0,2064,130.375968992,6.18798449612,0.0395907546237,0.00689952777066,1457.59477401,14145,0.140202005243,384.549865543,21.2577589254,2534.56658559,4,0,0,,,,,
F24,1,0,2132,11.9193245779,0.470450281426,0.00301766055268,0.000459015894042,841.48185988,1100,0.124674477466,211.763043967,25.1654545455,1481.12062325,4,0,0,,,,,
G01,1,0,2167,9.54730041532,0.294416243655,0.00250321135183,0.000272569658075,910.287425717,739,0.127883345895,261.03976105,33.151556157,1734.68468784,4,0,0,,,,,
G02,1,0,1859,143.754706832,4.75578267886,0.0413631046715,0.00513441310537,1454.97177956,9920,0.140000145509,389.089358801,30.2003024194,2577.28286658,4,0,0,,,,,
G03,1,0,2014,10.1484607746,0.302879841112,0.00287708346417,0.000294135516748,870.340617144,681,0.131099457731,252.410463433,33.4581497797,1611.41694688,4,0,0,,,,,
G04,1,0,2160,120.101851852,4.89259259259,0.0374656738879,0.00555451464464,1502.09055139,11695,0.136571382468,412.317940163,24.7209918769,2799.04438544,4,0,0,,,,,
G05,1,0,1977,46.5098634294,1.89074355083,0.01010055804,0.00186309708262,1020.49142303,4114,0.123157379297,239.781823898,24.6594555177,1780.83372676,4,0,0,,,,,
G06,1,0,2234,14.1226499552,0.510295434199,0.00393595231057,0.000536050635833,953.640934019,1254,0.125546318473,257.920534417,27.8301435407,1757.00243399,4,0,0,,,,,
G07,1,0,2160,8.23703703704,0.2625,0.00316039857609,0.000271545012828,955.669080703,637,0.141413354173,382.44189293,31.8822605965,2330.2166132,4,0,0,,,,,
G08,1,0,2037,8.73588610702,0.306332842415,0.00292630629355,0.000327863149571,946.423456114,689,0.135272490132,309.416321723,28.8519593614,1944.57988791,4,0,0,,,,,
G09,1,0,1973,10.401926001,0.393309680689,0.00371778624366,0.00038815283441,1001.70836551,857,0.141499301648,386.25864043,26.5414235706,2307.40557037,4,0,0,,,,,
G10,1,0,1944,132.905349794,6.40329218107,0.0572851351207,0.00759224765207,2086.64290619,13490,0.152284703327,741.820276285,20.9127501853,4418.79562291,4,0,0,,,,,
G11,1,0,1905,138.916535433,6.77847769029,0.0557741215164,0.00790004447427,2136.63101944,14237,0.15009309658,713.93015253,20.6580740325,4345.56439738,4,0,0,,,,,
G12,1,0,2030,13.5778325123,0.528078817734,0.00418515120345,0.000558919500426,1010.26390977,1166,0.129160618164,291.121516952,25.8439108062,1934.1640099,4,0,0,,,,,
G13,1,0,1973,9.48758236189,0.324379118094,0.00388609278496,0.000364174891179,991.4215557,714,0.142544044967,363.643704766,29.5616246499,2247.06509234,4,0,0,,,,,
G14,1,0,2246,10.339269813,0.379786286732,0.00412520969107,0.00038968722011,1048.36960865,946,0.142469974131,415.342524825,27.9281183932,2473.48019623,4,0,0,,,,,
G15,1,0,2107,7.54010441386,0.245372567632,0.0029179677946,0.000253876659337,1034.31681985,580,0.14555129335,393.034775323,31.1413793103,2256.64221844,4,0,0,,,,,
G16,1,0,1996,20.0586172345,0.720941883768,0.0061520967796,0.000765733561323,1087.81869047,1580,0.13075872282,329.39903177,28.1069620253,2134.63534971,4,0,0,,,,,
G17,1,0,2105,9.18004750594,0.301187648456,0.00312084406997,0.00030916656034,935.950877429,709,0.142598827878,331.137979088,30.9957686883,1933.82736154,4,0,0,,,,,
G18,1,0,2065,8.75108958838,0.322518159806,0.00301759563617,0.000329169317317,941.244334494,712,0.13570881977,323.30585306,27.6867977528,2019.36426017,4,0,0,,,,,
G19,1,0,1957,11.0102197241,0.326520183955,0.0041801568924,0.000372432426589,934.680862828,710,0.138843777748,335.546646103,33.414084507,2028.61551941,4,0,0,,,,,
G20,1,0,2037,8.30191458027,0.269513991163,0.00278317176711,0.000262771513705,908.357331967,600,0.140399756645,313.570112288,30.8333333333,1858.06005772,4,0,0,,,,,
G21,1,0,2064,7.90406976744,0.235949612403,0.00220626517548,0.00022376673597,879.847310121,549,0.135433580296,253.993175302,33.9380692168,1606.36917826,4,0,0,,,,,
G22,1,0,1995,177.955388471,8.01052631579,0.0736864005265,0.00964644621517,2797.72203356,17622,0.150484530369,763.98854486,22.4094881398,4902.43106309,4,0,0,,,,,
