,,,PltRpt=1 Group=1 LUM 01sec(1) De=1st Ex=N/A Em=Top Wdw=N/A,,,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,,
1,,K04,87880,8788,0.1,00:00:47.232,,
1,,K05,88840,8884,0.1,00:00:47.424,,
1,,K06,93280,9328,0.1,00:00:47.616,,
1,,K07,89960,8996,0.1,00:00:47.808,,
1,,K08,94120,9412,0.1,00:00:48.000,,
1,,K09,86720,8672,0.1,00:00:48.192,,
1,,K10,18360,1836,0.1,00:00:48.384,,
1,,K11,85040,8504,0.1,00:00:48.575,,
1,,K12,83600,8360,0.1,00:00:48.766,,
1,,K13,83000,8300,0.1,00:00:48.958,,
1,,K14,79360,7936,0.1,00:00:49.149,,
1,,K15,88680,8868,0.1,00:00:49.342,,
1,,K16,93720,9372,0.1,00:00:49.534,,
1,,K17,87600,8760,0.1,00:00:49.726,,
1,,K18,86840,8684,0.1,00:00:49.919,,
1,,K19,87200,8720,0.1,00:00:50.111,,
1,,K20,90920,9092,0.1,00:00:50.303,,
1,,K21,88160,8816,0.1,00:00:50.494,,
1,,K22,91320,9132,0.1,00:00:50.686,,
1,,K23,840,84,0.1,00:00:50.878,,
1,,K24,84440,8444,0.1,00:00:51.070,,
1,,L01,84560,8456,0.1,00:00:55.736,,
1,,L02,85920,8592,0.1,00:00:55.545,,
1,,L03,81160,8116,0.1,00:00:55.353,,
1,,L04,75120,7512,0.1,00:00:55.160,,
1,,L05,82120,8212,0.1,00:00:54.969,,
1,,L06,81800,8180,0.1,00:00:54.778,,
1,,L07,92960,9296,0.1,00:00:54.586,,
1,,L08,90920,9092,0.1,00:00:54.394,,
1,,L09,90440,9044,0.1,00:00:54.202,,
1,,L10,85240,8524,0.1,00:00:54.010,,
1,,L11,77560,7756,0.1,00:00:53.818,,
1,,L12,84080,8408,0.1,00:00:53.626,,
1,,L13,87640,8764,0.1,00:00:53.435,,
1,,L14,79440,7944,0.1,00:00:53.243,,
1,,L15,89360,8936,0.1,00:00:53.051,,
1,,L16,86440,8644,0.1,00:00:52.859,,
1,,L17,83920,8392,0.1,00:00:52.668,,
1,,L18,88360,8836,0.1,00:00:52.477,,
1,,L19,90160,9016,0.1,00:00:52.286,,
1,,L20,83200,8320,0.1,00:00:52.095,,
1,,L21,79800,7980,0.1,00:00:51.903,,
1,,L22,84400,8440,0.1,00:00:51.711,,
1,,L23,840,84,0.1,00:00:51.520,,
1,,L24,91280,9128,0.1,00:00:51.328,,
1,,M01,85680,8568,0.1,00:00:55.992,,
1,,M02,89960,8996,0.1,00:00:56.184,,
1,,M03,80960,8096,0.1,00:00:56.376,,
1,,M04,5400,540,0.1,00:00:56.568,,
1,,M05,84040,8404,0.1,00:00:56.760,,
1,,M06,86480,8648,0.1,00:00:56.952,,
1,,M07,76080,7608,0.1,00:00:57.144,,
1,,M08,84920,8492,0.1,00:00:57.336,,
1,,M09,89560,8956,0.1,00:00:57.528,,
1,,M10,82240,8224,0.1,00:00:57.720,,
1,,M11,80560,8056,0.1,00:00:57.912,,
1,,M12,84280,8428,0.1,00:00:58.104,,
1,,M13,81440,8144,0.1,00:00:58.295,,
1,,M14,80800,8080,0.1,00:00:58.487,,
