PlateNumber,Group,Well,Kinetic,MeasInfo,MeasTime,Signal,Flashes/Time,Result,
1,1,E03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:19.044,8056,0.1,80560,
1,1,E04,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:19.236,8292,0.1,82920,
1,1,E05,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:19.427,148,0.1,1480,
1,1,E06,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:19.619,8644,0.1,86440,
1,1,E07,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:19.810,8596,0.1,85960,
1,1,E08,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:20.002,8552,0.1,85520,
1,1,E09,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:20.193,8700,0.1,87000,
1,1,E10,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:20.386,8376,0.1,83760,
1,1,E11,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:20.578,8524,0.1,85240,
1,1,E12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:20.770,8704,0.1,87040,
1,1,E13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:20.962,8232,0.1,82320,
1,1,E14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:21.154,8388,0.1,83880,
1,1,E15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:21.346,7508,0.1,75080,
1,1,E16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:21.538,8712,0.1,87120,
1,1,E17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:21.729,8796,0.1,87960,
1,1,E18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:21.921,8876,0.1,88760,
1,1,E19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:22.113,8320,0.1,83200,
1,1,E20,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:22.305,8884,0.1,88840,
1,1,E21,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:22.497,7128,0.1,71280,
1,1,E22,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:22.689,7844,0.1,78440,
1,1,E23,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:22.880,96,0.1,960,
1,1,E24,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:23.071,8360,0.1,83600,
1,1,F01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:27.735,8092,0.1,80920,
1,1,F02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:27.543,8968,0.1,89680,
1,1,F03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:27.351,8120,0.1,81200,
1,1,F04,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:27.160,8260,0.1,82600,
1,1,F05,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:26.968,8116,0.1,81160,
